Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
24652028,Les Confessions,Augustine of Hippo,"Hippo, Augustine of",Louis Moreau,"=""""","=""""",3,3.95,Editions la Bibliothèque Digitale,Kindle Edition,217,2013,378,,2016/01/24,,,read,,,,1,0
1424502,Les Carnets du sous-sol,Fyodor Dostoevsky,"Dostoevsky, Fyodor",André Markowicz,"=""""","=""""",5,4.18,Babel,Mass Market Paperback,192,2011,1864,2016/09/17,2016/09/03,,,read,,,,1,0
837812,Andromaque,Jean Racine,"Racine, Jean",,"=""2070409023""","=""9782070409020""",5,3.70,Folio,Mass Market Paperback,175,1999,1667,2016/09/08,2016/08/20,,,read,,,,1,0
15714,Le mythe de Sisyphe,Albert Camus,"Camus, Albert",,"=""""","=""""",5,4.18,Gallimard,Mass Market Paperback,187,1985,1942,2016/09/03,2016/08/27,,,read,,,,1,0
323157,La Pesanteur et la Grâce,Simone Weil,"Weil, Simone",,"=""2266045962""","=""9782266045964""",5,4.29,Pocket,Paperback,275,1991,1947,2016/08/17,2016/08/01,,,read,,,,1,0
12075,Tractatus Logico-Philosophicus,Ludwig Wittgenstein,"Wittgenstein, Ludwig","David Pears, Brian McGuinness, Bertrand Russell","=""0415254086""","=""9780415254083""",5,4.09,Routledge Classics,Paperback,142,2001,1921,2016/08/01,2016/07/23,,,read,,,,1,0
435817,The Protestant Ethic and the Spirit of Capitalism (Routledge Classics),Max Weber,"Weber, Max","Talcott Parsons, Anthony Giddens","=""041525406X""","=""9780415254069""",5,3.91,Routledge,Paperback,272,2001,1904,2016/07/23,2016/07/11,,,read,,,,1,0
1526478,Le temps des erreurs,Mohamed Choukri,"Choukri, Mohamed",,"=""2020789892""","=""9782020789899""",1,3.55,Contemporary French Fiction,Paperback,,2005,1992,2016/07/23,2016/06/21,,,read,,,,1,0
7070690,Lettre à D'Alembert (Poche),Jean-Jacques Rousseau,"Rousseau, Jean-Jacques",,"=""2080711652""","=""9782080711656""",3,2.89,GF - Flammarion,Mass Market Paperback,240,2003,,2016/07/05,2016/06/26,,,read,,,,1,0
627994,Cyberia: Life in the Trenches of Cyberspace,Douglas Rushkoff,"Rushkoff, Douglas",,"=""1903083249""","=""9781903083246""",5,3.79,Clinamen Press Ltd.,Paperback,272,2002,1993,2016/07/02,2016/06/08,,,read,,,,1,0
8852,Macbeth,William Shakespeare,"Shakespeare, William","Barbara A. Mowat, Paul Werstine","=""0743477103""","=""9780743477109""",0,3.90,Simon & Schuster,Mass Market Paperback,249,2013,1623,2016/06/12,2016/06/12,,,read,,,,1,0
1156110,Micromegas,Voltaire,"Voltaire, Voltaire",Theo Cuff,"=""0140389024""","=""9780140389029""",3,3.67,Penguin Classics,Mass Market Paperback,38,1995,1752,2016/06/11,2016/06/11,,,read,,,,1,0
54270,Mein Kampf,Adolf Hitler,"Hitler, Adolf","Ralph Manheim, Serpil Yener","=""0395083621""","=""9780395083628""",5,3.18,Houghton Mifflin Company,Paperback,384,1973,1925,,2016/06/10,,,read,,,,1,0
6136932,L'avenir d'une illusion,Sigmund Freud,"Freud, Sigmund","Jacques André, Anne Balseinte, Jean-Gilbert Delarbre, Daniel Hartmann","=""2130547028""","=""9782130547020""",0,3.77,Presses Universitaires de France (PUF),Paperback,64,,1927,2016/06/06,2016/05/21,,,read,,,,1,0
16009558,Ecrits philosophiques,Karl Marx,"Marx, Karl",,"=""2081264315""","=""9782081264311""",0,4.11,Flammarion,Paperback,426,2011,1841,2016/05/18,2016/04/17,,,read,,,,1,0
21806023,Au-delà du principe de plaisir,Sigmund Freud,"Freud, Sigmund","Janine Altounian, André Bourguignon, Pierre Cotet, Alain Rauzy, Jean Laplanche","=""2130624324""","=""9782130624325""",3,3.72,Presses universitaires de France,Paperback,92,2013,1920,2016/05/14,2016/04/23,,,read,,,,1,0
24748088,Les Fleurs du Mal,Charles Baudelaire,"Baudelaire, Charles",,"=""2081279037""","=""9782081279032""",0,4.21,Flammarion,Pocket Book,370,2012,1857,2016/04/16,2016/02/28,,,read,,,,1,0
4934,The Brothers Karamazov,Fyodor Dostoevsky,"Dostoevsky, Fyodor","Richard Pevear, Larissa Volokhonsky, Borut Kraševec, Ива Николова","=""""","=""""",0,4.36,"Farrar, Straus and Giroux",Paperback,796,2002,1880,2016/04/14,2016/01/10,,,read,,,,1,0
148489,The Essence of Religion (Great Books in Philosophy),Ludwig Feuerbach,"Feuerbach, Ludwig",Alexander Loos,"=""1591022134""","=""9781591022138""",5,3.67,Prometheus,Paperback,88,2004,1845,2016/04/11,2016/04/07,,,read,,,,1,0
193988,La Métamorphose,Franz Kafka,"Kafka, Franz",Claude David,"=""207041437X""","=""9782070414376""",0,3.85,Folio,Mass Market Paperback,144,2000,1915,2016/04/10,2016/04/10,,,read,,,,1,0
239154,Les Justes,Albert Camus,"Camus, Albert",,"=""""","=""""",5,4.02,Folio,Mass Market Paperback,152,1999,1949,2016/04/08,2016/04/08,,,read,,,,1,0
12091888,سيكولوجية الجماهير,Gustave Le Bon,"Bon, Gustave Le","هاشم صالح, Hofman L. K., Ullrich Z.","=""""","=""9781855168152""",5,3.84,دار الساقي,Paperback,200,2011,1895,2016/04/07,2016/04/07,,,read,,,,1,0
24976930,Le Portrait,Nikolai Gogol,"Gogol, Nikolai",,"=""""","=""""",5,4.03,Editions la Bibliothèque Digitale,Kindle Edition,42,2013,1835,2016/03/30,2016/02/24,,,read,,,,1,0
257213,Le Bourgeois Gentilhomme,Molière,"Molière, Molière",Dietmar Fricke,"=""2038716617""","=""9782038716610""",0,3.73,Larousse,Mass Market Paperback,240,2003,1670,2016/03/06,2016/03/06,,,read,,,,1,0
774027,La Chute,Albert Camus,"Camus, Albert",,"=""2070360105""","=""9782070360109""",5,4.04,Gallimard,Mass Market Paperback,160,1972,1956,2016/02/27,2016/02/24,,,read,,,,1,0
814766,Nevsky Prospect,Nikolai Gogol,"Gogol, Nikolai","D.M. Pursglove, Colin Johnson","=""1853993484""","=""9781853993480""",5,3.86,Bristol Classical Press,Paperback,96,1998,1835,2016/02/24,2016/02/24,,,read,,,,1,0
449407,Pensées,Blaise Pascal,"Pascal, Blaise","T.S. Eliot, A.J. Krailsheimer, George Iancu Ghidu","=""0140446451""","=""""",3,3.94,Penguin Classics,Paperback,334,1995,1670,2016/02/24,2016/02/16,,,read,,,,1,0
13540186,Le Nez,Nikolai Gogol,"Gogol, Nikolai",,"=""2842053001""","=""9782842053000""",5,3.68,Mille et une nuits,Mass Market Paperback,69,1998,1836,2016/02/17,2016/02/14,,,read,,,,1,0
159964,The Dhammapada,Anonymous,"Anonymous, Anonymous","Thich Nhat Hanh, Ananda Maitreya, Viggo Fausbll","=""0938077872""","=""9780938077879""",3,4.27,Parallax Press,Paperback,114,2001,-400,2016/02/14,2016/02/14,,,read,,,,1,0
7110483,Kapital Manga Cilt:1,Karl Marx,"Marx, Karl",Hüseyin Can Erkin,"=""""","=""9789944122917""",4,3.76,Yordam Kitap,Paperback,191,2009,,,2016/01/17,,,read,,,,1,0
13501065,Novum Organum / Nova Atlântida,Francis Bacon,"Bacon, Francis",,"=""8513008494""","=""""",5,3.78,Nova Cultural,Hardcover,256,1999,1620,2016/02/09,2016/02/02,,,read,,,,1,0
